我昨天在电视上看到的啦，以前的人要是身体哪里不好，就吃其他动物的那个部分吔。	所以呢？
毕竟克里夫学长是在养护院长大的嘛。	嗯。因为养护院也有很多被弃养的孩子……不过，自己的孩子果然是特别的。
克里夫学长真是了不起，已经有父亲的样子了。	我什么也没做。因为有丽洁在，所以我只是看起来有模有样。
可是像我的话，每个月大约只有一次能一起帮忙照顾小孩。	照顾小孩也有各式各样的形式。依你们家的情况，既有妻子也有女仆，况且你在做你应该做的事情。没有必要看得太重。
以我的角度来看，像你这样没办法每天看见小孩成长……反而很可怜啊。	能被克里夫神父这样说，实在是不胜感激。
克里夫学长，你毕业之后有什么打算？	……不知道。本国的祖父也没有传来任何联络。不过我想先回去一趟。毕竟我也想报告已经结婚生子的事情。
那是之后的事了。	也是呢。
话说，虽然我也是在无形中察觉到的，但你那个时候果然说谎了对吧？	是的，因为关于诅咒这件事，不管我怎么说你们都不肯相信。
唔，是克里夫•格利摩尔吗？	啊，嗯，没错。我是克里夫•格利摩尔……
你每次都很辛苦啊。	这是什么意思啊……！
奥尔斯帝德大人。我们赶紧开始吧，今天有三个。	嗯。
请您戴看看吧。	……
克里夫学长，你觉得如何？	…………不行，比之前更糟。
果然是三号吧。我将一号试着以弗拉克式转换魔力，但看来是反效果。换句话说，很有可能是魔力本身受到诅咒。	魔力本身……？
嗯，就像是奥尔斯帝德……大人的魔力在进入视野的当下，诅咒就会发动那样。	那么，假设用魔力无法通过的物质覆盖全身如何？
如果进去完全没有缝隙的箱子，诅咒当然是不会发动，但根本没有解决任何问题。	所言甚是。
那么，下次就在一个月后吧。	嗯，劳烦你了。克里夫•格利摩尔。我完全没有想到你有这种才能。
不会，要是家人继续反对下去，也只会让我过意不去。更何况人神肯定也不乐见奥尔斯帝德大人能自由行动，所以是为了我自己。	也对。
克里夫学长，久等了。	嗯，那走吧。
克里夫学长，你午餐打算怎么解决？	这个嘛……我先回房间把这个放好后再去餐厅。麻烦你去叫札诺巴，大家一起吃吧。
先敲门……有人在吗～	喔喔！师傅！您来得正好！快请进吧！
札诺巴……你……竟然对茱丽出手……	现在可不是开玩笑的时候！师傅，请您对茱丽施加治愈魔术。她从刚刚开始就血流不止。
我想，八成是生理期吧。最好还是找金洁小姐过来。	咦？喔喔，原来如此！仔细想想，茱丽也是少女啊！完全没有设想到这件事，本王子都给忘了！
喔，在这之前得吃午饭啊。茱丽，你今天就休息吧。在金洁回来前，你可以一个人睡觉吗？	…………我很怕。Master，我希望跟你在一起。
师傅，魔导铠那方面您觉得如何？	还不坏。毕竟连魔物的一击都能挡下。只不过以能力上来看，果然还是靠不住。对上魔物的话没什么问题，但若是和剑士交手的话应该会很吃力。
毕竟已经把防御力、恢复力以及机动力……全部牺牲掉了呢。	不过，如果要维持跟原型机相同的性能，就必须变得更大才行……
算了，也只能一边使用一边改良了。	也对。
对了，师傅，您觉得加特林机枪如何？	那个杀伤力太高，用途有限啊……
话说回来，札诺巴，自动人偶那方面怎么样了？	噢，那边目前冻结中。虽然一部分是因为遇上了瓶颈，但还是守护师傅性命的研究更为重要。
啊……真是抱歉。	哈哈哈，制作魔导铠也很有意思，师傅无须道歉。反倒是本王子想向您道谢呢。
对了，札诺巴，既然茱丽长大了，我想也是时候开始认真贩卖绘本和人偶了，你觉得可行吗？	唔嗯……
……是钱吗？	不，资金方面不用担心。因为爱丽儿公主那边提供了资金援助。在阿斯拉王国当地也准备了工房，生产上不成问题。可是有关商人方面，目前还没有人选。
可以麻烦爱丽儿那边帮忙介绍吗？	爱丽儿殿下最近也十分忙碌，毕竟加冕仪式已近在眼前。本王子认为不应该再麻烦她费心处理此事。
札诺巴，你认为从现在开始的五年内，有可能教会茱丽经商的基础知识吗？	是有可能……但是，茱丽果然还是该当个创作者。至于负责卖场的人，本王子认为再买其他奴隶负责比较妥当。
唔～……果然还是得等计划订定得更严谨一点再执行比较妥当啊。	您说得是。
那么，这件事下次再谈……我们来聊聊如何该改良魔导铠吧。	是，师傅。其实本王子已经构思好下个版本──
诺伦，今天上课教的有哪里不懂吗？	没有，没问题，洛琪希姐。一如往常教得浅显易懂。
我认为自己有特别注意，但如果有不懂的地方请随时告诉我。	到时再麻烦你私下教我吧。
欢迎回来，各位。	……
我们回来了。	欢迎回来，鲁迪、洛琪希……还有，诺伦。
诺姐！欢迎回来！	露西，我回来了～
诺伦，今天是要在家过夜的日子吗？	不是，只是我听说莉妮亚学姐住在我们家，稍微来探望一下。
又要增加了吗？	唔～不清楚呢。莉妮亚虽然看起来那样，但好像很喜欢鲁迪，而且她又很有魅力……
艾莉丝姐怎么说？她没有反对吗？	她说这孩子是我的，不会交给鲁迪。
希露菲，艾莉丝呢？	她带雷欧去散步了喔。我明明说现在有孕在身叫她不要这么做，但她就是听不进去。白天也是，我注意到的时候她已经在挥剑了。就算某种程度上已经安定下来，但要是不小心流掉的话怎么办啊……
别说明天了，从今天开始就要让你好好工作喽！	是，爱夏前辈，请多指教喵！
欢迎您回来！	嗯。
我要你三天后出发。现在开始说明内容。	谨遵您的吩咐！
和平常一样，虽说不是什么重要的工作……你还是在这几天内先和家人道别吧。	遵命！
我回来了，莉妮亚。你在这种地方干什么啊？	呜喵哈哈……我稍微犯了错，被要求反省喵……
妈～妈！爸爸回来了～！	嗯，我听见了～等我一下喔～
莉莉雅小姐，我回来了。	欢迎回来，少爷。
你是不是累了？	不会。
是不是该休息一下比较好？	这不是什么大问题。
真的吗？	是。
如果你身体状况不好的话，请不要客气，要好好休息。	谢谢您的关心。不过，我真的没有大碍。
发生了什么事吗？	……不久前，艾莉丝夫人去了学校一趟。
艾莉丝？去做什么？	她说今天是要教诺伦小姐剑术的日子……
真的是非常抱歉。包含我在内的所有人都试着阻止过了，但回过神来她已经外出……	噢，嗯。辛苦你了。
爱夏？	啊，哥哥……欢迎回来。
那只猫啊，可以扔掉吗？	咦？
啊，扔了也不太好呢。要不然卖给奴隶商人……不对，卖给艾莉丝姐的老家吧。我记得那里愿意出高价买下她对吧？虽然或许不愿意出到一千五百枚阿斯拉金币，但至少应该愿意出一半吧？	等……等等。先冷静下来吧。来，坐吧。
那个啊，虽然也不是什么特别贵重的东西，但已经买不到了喔。毕竟制作者死了，当初买的那间店也倒了。	……不过有形之物嘛，总有一天会坏的，嗯。
那种事我也知道。其实啊，就算是我也不会因为杯子破了就生气啊。	嗯。
只不过，我啊，觉得那只猫不适合担任我们家的女仆。洗碗的话会把餐具打破，打扫的话会把镜子打破，洗衣服的话整张床单都会沾到毛。	一开始任谁都会失败的。毕竟莉妮亚虽然看起来那样，但也是名门的大小姐。
……之前也是，在打扫客厅的时候，还差点把水泼到菈菈身上喔。	水泼到菈菈？为……为什么会这样？
虽然那件事也不对，不过光是这样我也不会说什么。毕竟诺伦姐的话会更严重，记东西也很慢。	别若无其事地损诺伦啦。
哦？	就算搞砸了什么，她也不会觉得羞愧，只会说什么：『喵哈哈哈，抱歉抱歉，下次开始会注意的喵』……
这样的确不太好呢。	对吧？
她很轻视希露菲吗？	怎么说呢，态度比面对艾莉丝姐她们时更轻浮。偶尔还会叫她菲兹。
那肯定是因为希露菲和莉妮亚认识的时间比较久喔。	……那样的话就算了，但我总觉得自从莉妮亚来了之后，家里就有种奇怪的感觉。
总之，我会去要求莉妮亚在犯错的时候得更诚恳地道歉。弄坏的东西就算到她的债务上。态度也得变得更加恭敬……所以，我希望你能再观察一阵子，可以吗？	唔──
好嘛，拜托你啦，爱夏。虽然是那种人，但也是哥哥的朋友啊。	…………好吧，这次就看在哥哥的份上原谅她。
做吧。	我不做。
可是，你想做对吧？我听说了喔，希露菲和洛琪希今天都是不能做的日子。	今天就算了啦，我会忍耐的。
呃，艾莉丝，不要吧。怀孕中这样不好。要是小孩流产，我和艾莉丝都会后悔的。不好，这样绝对不好。	那种事情我也知道。所以我平常也都有在留意啊。
如果我不行的话，抱莉妮亚就行了吧！	呜喵……
这什么鬼？	所以说，是莉妮亚！
那个啊，艾莉丝，这样不算外遇吗？	和奴隶做不算外遇。祖父大人和父亲大人都是这样说的。更何况我也会一起，不会有任何问题！
莉妮亚。	喵……！
我……我是第一次喵，希望能温柔点喵……	…………
